ASN1111,University of Klagenfurt,
ASN11114,Wintek Corporation,
ASN11115,"Online Tech, LLC",
ASN11116,OnlyInternet Broadband and Wireless,
ASN11117,ENERGY CAPITAL PARTNERS MGMT,
ASN11118,ComTeck,
ASN1112,Montanuniversitaet Leoben,
ASN11120,"iSYS, LLC",
ASN11121,FIRST DATA CORPORATION,
ASN11123,"Ultimate Internet Access, Inc",
ASN11124,"Friedkin Companies, Inc.",
ASN11126,Carle Clinic Association,
ASN11127,Globecomm Network Services Corporation,
ASN1113,"Technische Universitaet Graz,",
ASN11130,The Computer Care Company Inc.,
ASN11131,University of Maryland Baltimore County (UMBC),
ASN11133,"Sorenson Communications, Inc.",
ASN11134,WebFire Internet Services,
ASN11135,Cross Development/Montgomery LP,
ASN11136,Instituto Tecnol�gico y de Estudios Superiores de Monterrey,
ASN11138,BEK Communications Cooperative,
ASN11139,Cable & Wireless Dominica,
ASN1114,Universitaet Graz,
ASN11140,Behr Process,
ASN11141,The Clifton Group,
ASN11142,"Precision Data Solutions, LLC",
ASN11143,"OEConnection, LLC",
ASN11144,Advent Software,
ASN1115,Austrian Academy of Sciences,
ASN11152,"Waverly Hall Telephone, LLC.",
ASN11154,Hilltop Securities Inc.,
ASN11155,Quad-Cities Online,
ASN11157,ELAB,
ASN11158,"NTT America, Inc.",
ASN11160,COSTAR GROUP,
ASN11161,"Lablynx, Inc.",
ASN11162,Los Nettos,
ASN11163,"Atlantix Global Systems, LLC",
ASN11164,Internet2,
ASN11165,"Toppan Photomasks, Inc.",
ASN11166,J2 Global Inc.,
ASN11167,"AirCell, LLC.",
ASN11168,"SMART CHOICE COMMUNICATIONS, LLC",
ASN11169,Secure Foundations,
ASN1117,"Universitaet fuer Bodenkultur, Wien",
ASN11170,Roller Network LLC,
ASN11171,"Autonation, Inc",
ASN11172,"Alestra, S. de R.L. de C.V.",
ASN11174,Athenahealth,
ASN11176,"Smart City Networks, L.P.",
ASN11177,Questar,
ASN11178,"AccessPlus Communications, Inc.",
ASN11179,"Aryaka Networks, Inc.",
ASN11180,CX-DATA INC.,
ASN11181,Vaxxine Computer Systems Inc.,
ASN11183,Mount Horeb Telephone Co,
ASN11184,"Orbitz, LLC",
ASN11187,"Global Web Solutions, Inc.",
ASN11188,LOS ANGELES COUNTY - INTERNAL SERVICESDIVISION,
ASN11189,"Caliber Home Loans, Inc.",
ASN11190,"Silicon Connections, LLC.",
ASN11191,Fire2Wire,
ASN11192,"Smart City Networks, L.P.",
ASN11193,S.A.,
ASN11194,NuNet Inc.,
ASN11195,"Whiz to Coho, Inc.",
ASN11196,Nestle USA,
ASN11197,Dartmouth-Hitchcock Medical Center,
ASN11199,showNets LLC,
ASN112,DNS-OARC,
ASN1120,ACOnet Services @ Vienna Internet eXchange,
ASN11200,Regis University,
ASN11203,CalDSL,
ASN11204,"Information Access, Inc.",
ASN11205,City of Philadelphia,
ASN11207,The Boston Globe,
ASN11208,"HALL CAPITAL PARTNERS, LLC",
ASN11209,"OppenheimerFunds, Inc.",
ASN11211,NCIC Operator Services,
ASN11212,COUNTY OF SONOMA,
ASN11213,"Level 3 Communications, Inc.",
ASN11214,University of North Florida,
ASN11215,Logix,
ASN11217,Carter Ledyard & Milburn LLP,
ASN11218,"Ted Moudis Associates, Inc.",
ASN11219,James R. Glidewell Dental Ceramics Inc.,
ASN11221,WHRO,
ASN11222,Polo Ralph Lauren,
