"Source";"Destination";"Relationship"
174;14672;-1
174;14689;-1
174;14717;-1
174;14720;-1
174;14721;-1
174;14728;-1
174;14742;-1
174;14743;-1
174;14744;-1
174;14745;-1
174;14746;-1
174;14754;-1
174;14774;-1
174;14775;-1
174;14793;-1
174;14797;-1
174;14833;-1
174;14843;-1
174;14860;-1
174;14870;-1
174;14877;-1
174;14890;-1
174;14906;-1
174;14923;-1
174;14938;-1
174;14941;-1
174;14969;-1
174;14987;-1
174;14989;-1
174;14991;-1
174;14996;-1
174;15001;-1
174;15003;-1
174;15008;-1
174;15011;-1
174;15024;-1
174;15042;-1
174;15065;-1
174;15069;-1
174;15080;-1
174;15083;-1
174;15085;-1
174;15092;-1
174;15095;-1
174;15098;-1
174;15119;-1
174;15122;-1
174;15128;-1
174;15133;-1
174;15177;-1
174;15204;-1
174;15216;-1
174;15222;-1
174;15231;-1
174;15234;-1
174;15247;-1
174;15249;-1
174;15250;-1
174;15282;-1
174;15286;-1
174;15294;-1
174;15301;-1
174;15305;-1
174;15320;-1
174;15322;-1
174;15324;-1
174;15336;-1
174;15344;-1
174;15347;-1
174;15348;-1
174;15354;-1
174;15361;-1
174;15389;-1
174;15401;-1
174;15419;-1
174;15421;-1
174;15426;-1
174;15433;-1
174;15435;-1
174;15447;-1
174;15463;-1
174;15479;-1
174;15498;-1
174;15510;-1
174;15533;-1
174;15542;-1
174;15548;-1
174;15557;-1
174;15570;-1
174;15576;-1
174;15583;-1
174;15589;-1
174;15605;-1
174;15612;-1
174;15654;-1
174;15691;-1
174;15692;-1
174;15699;-1
174;15701;-1
174;15704;-1
174;15716;-1
174;15732;-1
174;15772;-1
174;15773;-1
174;15806;-1
174;15826;-1
174;15830;-1
174;15836;-1
174;15839;-1
174;15844;-1
174;15850;-1
174;15895;-1
174;15915;-1
174;15925;-1
174;15945;-1
174;15954;-1
174;15955;-1
174;15961;-1
174;15962;-1
174;15965;-1
174;15966;-1
174;15997;-1
174;16016;-1
174;16022;-1
174;16024;-1
174;16030;-1
174;16039;-1
174;16057;-1
174;16065;-1
174;16066;-1
174;16071;-1
174;16073;-1
174;16082;-1
174;16086;-1
174;16095;-1
174;16136;-1
174;16160;-1
174;16162;-1
174;16164;-1
174;16168;-1
174;16171;-1
174;16175;-1
174;16178;-1
174;16186;-1
174;16206;-1
174;16211;-1
174;16217;-1
174;16218;-1
174;16238;-1
174;16243;-1
174;16245;-1
174;16253;-1
174;16265;-1
174;16276;0
174;16281;-1
174;16303;-1
174;16315;-1
174;16334;-1
174;16342;-1
174;16347;0
174;16353;-1
174;16385;-1
174;16404;-1
174;16406;-1
174;16407;-1
174;16409;-1
174;16413;-1
174;16463;-1
174;16475;-1
174;16477;-1
174;16523;-1
174;16524;-1
174;16527;-1
174;16529;-1
174;16531;-1
174;16533;-1
174;16537;-1
174;16545;-1
174;16552;-1
174;16557;-1
174;16561;-1
174;16563;-1
174;16570;-1
174;16577;-1
174;16581;-1
174;16582;-1
174;16604;-1
174;16608;-1
174;16611;-1
174;16613;-1
174;16637;-1
174;16642;-1
174;16645;-1
174;16647;-1
174;16650;-1
174;16652;-1
174;16657;-1
174;16675;-1
174;16692;-1
174;16696;-1
174;16698;-1
174;16700;-1
174;16710;-1
174;16713;-1
174;16724;-1
174;16735;-1
174;16752;-1
174;16754;-1
174;16760;-1
174;16770;-1
174;16813;-1
174;16815;-1
174;16816;-1
174;16818;-1
174;16823;-1
174;16830;-1
174;16839;-1
174;16842;-1
174;16843;-1
174;16848;-1
174;16858;-1
174;16880;-1
174;16884;-1
174;16904;-1
174;16909;-1
174;16910;-1
174;16912;-1
174;16921;-1
174;16950;-1
174;16958;-1
174;16960;-1
174;16971;-1
174;16986;-1
174;17002;-1
174;17014;-1
174;17019;-1
174;17028;-1
174;17038;-1
174;17043;-1
174;17049;-1
174;17050;-1
174;17056;-1
174;17072;-1
174;17074;-1
174;17077;-1
174;17078;-1
174;17085;-1
174;17088;-1
174;17101;-1
174;17112;-1
174;17113;-1
174;17134;-1
174;17143;-1
174;17145;-1
174;17146;-1
174;17149;-1
174;17175;-1
174;17183;-1
174;17185;-1
174;17210;-1
174;17215;-1
174;17216;-1
174;17221;-1
174;17253;-1
174;17261;-1
174;17274;-1
174;17279;-1
174;17293;-1
174;17297;-1
174;17304;-1
174;17306;-1
174;17315;-1
174;17316;-1
